视频id,用户昵称,评论ID,视频评论content,视频详情页URL,评论时间
7198827769390796069,八宝小熊,7208716669634822946,请问输入数据的时候如何更改小数点后三位呢[流泪],https://www.douyin.com/video/7198827769390796069,2023-03-10 01:02:36
7198827769390796069,200230327,7229904595157582629,怎么把线条变得平滑一点呀,https://www.douyin.com/video/7198827769390796069,2023-03-10 01:02:36
7339947531385736467,小李是个小哭包,7362199075591570226,提问可以问组学分析的问题么[快哭了],https://www.douyin.com/video/7339947531385736467,2024-02-26 16:28:23
7339947531385736467,用户7994771372132,7367492683692311346,这个热图的数据我有点儿看不明白，可以私聊您吗,https://www.douyin.com/video/7339947531385736467,2024-02-26 16:28:23
7339947531385736467,用户7994771372132,7367493049717818139,微生信的网址可以发下吗,https://www.douyin.com/video/7339947531385736467,2024-02-26 16:28:23
7339947531385736467,胆小鬼🍀🍒,7401464977532912396,博主 出一期组学咋样看图解读图的视频 组学好多图看不懂[眼含热泪][眼含热泪],https://www.douyin.com/video/7339947531385736467,2024-02-26 16:28:23
7296047951724530959,suidongfeng,7296063682890138405,作者，我想知道获得一个基因的序列，可以做出了理化和蛋白二三级结构和亚细胞定位，还可以做哪些分析？,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,Halo,7313428267665539890,别吓我啊哥，我现在想申生信的博士呢@[流泪],https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,泡沫粒子我竟然是！,7377567464601846538,想问问如果读生信的话是不是不用太注重科研，而是应该多参加数模之类的竞赛？,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,fmm,7400717623534617344,不会生信可以用ai么,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,咔咔读博日记,7318197104559489792,公众号：生信指南针，最近在更新python教程，可以追更,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,蛋挞超人,7296313203221873435,有朋友试过用夜曲编程学python吗～,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,咔咔读博日记,7318197055151178511,公众号：生信指南针，最近在更新python教程，可以追更,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,顽笑。,7362505211133018920,生信分析撞题怎么办,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,868568,7373326203808629514,可以查植物一个基因不同组织的表达吗,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,zzww,7376699400259126042,血液的可以做吗,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7296047951724530959,你可能不晓得,7396952448949076775,代作生信分析,https://www.douyin.com/video/7296047951724530959,2023-10-31 10:13:27
7321226687373462796,文案纪念馆,7321242453913912099,你接生信或者孟德尔随机化吗？,https://www.douyin.com/video/7321226687373462796,2024-01-07 06:39:58
